iter	Passed	Remaining
0	209	208835
1	211	105329
2	212	70751
3	214	53442
4	216	43042
5	217	36090
6	219	31129
7	221	27430
8	222	24544
9	224	22258
10	226	20373
11	228	18793
12	229	17458
13	231	16302
14	232	15297
15	234	14431
16	236	13670
17	238	13004
18	240	12409
19	241	11857
20	243	11371
21	245	10930
22	247	10521
23	249	10144
24	251	9792
25	253	9484
26	254	9185
27	256	8900
28	258	8639
29	259	8394
30	261	8160
31	262	7943
32	264	7745
33	266	7561
34	268	7395
35	270	7233
36	271	7071
37	273	6920
38	274	6773
39	276	6635
40	278	6505
41	279	6382
42	282	6280
43	284	6181
44	286	6077
45	287	5971
46	289	5869
47	291	5773
48	292	5680
49	294	5590
50	297	5534
51	299	5456
52	300	5374
53	302	5298
54	304	5225
55	305	5154
56	307	5082
57	308	5014
58	310	4953
59	312	4893
60	313	4833
61	315	4772
62	316	4713
63	318	4657
64	320	4603
65	321	4550
66	323	4500
67	324	4453
68	327	4416
69	329	4372
70	330	4328
71	332	4284
72	334	4243
73	335	4202
74	337	4161
75	339	4127
76	341	4096
77	343	4061
78	345	4027
79	347	3993
80	348	3958
81	350	3925
82	351	3883
83	353	3851
84	356	3833
85	358	3806
86	359	3776
87	361	3747
88	363	3719
89	365	3690
90	366	3665
91	368	3640
92	371	3620
93	373	3596
94	374	3570
95	376	3544
96	378	3519
97	379	3494
98	381	3470
99	383	3447
100	385	3434
101	387	3414
102	389	3393
103	392	3382
104	394	3365
105	396	3346
106	398	3327
107	400	3308
108	402	3289
109	404	3271
110	406	3253
111	407	3234
112	409	3215
113	411	3197
114	413	3179
115	415	3164
116	416	3145
117	418	3129
118	420	3113
119	422	3099
120	424	3083
121	425	3064
122	427	3048
123	430	3041
124	432	3028
125	434	3015
126	436	3000
127	438	2987
128	440	2972
129	442	2958
130	444	2946
131	446	2936
132	448	2923
133	450	2910
134	452	2897
135	453	2883
136	455	2869
137	457	2857
138	459	2846
139	461	2836
140	463	2825
141	464	2809
142	466	2797
143	468	2785
144	470	2773
145	472	2761
146	474	2752
147	476	2743
148	478	2734
149	480	2724
150	482	2712
151	484	2701
152	486	2691
153	488	2680
154	490	2675
155	493	2667
156	495	2658
157	496	2648
158	498	2639
159	500	2628
160	501	2615
161	504	2607
162	506	2600
163	508	2593
164	510	2585
165	513	2577
166	514	2568
167	516	2560
168	519	2553
169	521	2547
170	523	2540
171	526	2532
172	527	2523
173	529	2514
174	531	2505
175	534	2500
176	536	2493
177	538	2486
178	540	2478
179	542	2470
180	544	2462
181	545	2453
182	547	2446
183	550	2440
184	552	2432
185	554	2425
186	556	2417
187	558	2411
188	560	2404
189	562	2396
190	564	2391
191	567	2387
192	569	2383
193	571	2375
194	573	2368
195	575	2360
196	577	2353
197	580	2349
198	582	2343
199	584	2338
200	586	2333
201	588	2326
202	590	2318
203	592	2312
204	595	2308
205	597	2304
